lat,lon,elevation_m
22.44,113.93,0.0
22.47,113.93,0.0
22.5,113.93,5.0
22.53,113.93,9.0
22.56,113.93,33.0
22.59,113.93,126.0
22.62,113.93,69.0
22.65,113.93,131.0
22.68,113.93,46.0
22.71,113.93,235.0
22.74,113.93,31.0
22.77,113.93,22.0
22.8,113.93,8.0
22.83,113.93,58.0
22.86,113.93,143.0
22.44,113.96,42.0
22.47,113.96,0.0
22.5,113.96,0.0
22.53,113.96,2.0
22.56,113.96,10.0
22.59,113.96,15.0
22.62,113.96,24.0
22.65,113.96,324.0
22.68,113.96,105.0
22.71,113.96,73.0
22.74,113.96,135.0
22.77,113.96,33.0
22.8,113.96,31.0
22.83,113.96,27.0
22.86,113.96,129.0
22.44,113.99,14.0
22.47,113.99,29.0
22.5,113.99,0.0
22.53,113.99,-2.0
22.56,113.99,47.0
22.59,113.99,37.0
22.62,113.99,84.0
22.65,113.99,127.0
22.68,113.99,92.0
22.71,113.99,158.0
22.74,113.99,71.0
22.77,113.99,130.0
22.8,113.99,218.0
22.83,113.99,48.0
22.86,113.99,84.0
22.44,114.02,7.0
22.47,114.02,-2.0
22.5,114.02,0.0
22.53,114.02,15.0
22.56,114.02,34.0
22.59,114.02,159.0
22.62,114.02,84.0
22.65,114.02,70.0
22.68,114.02,86.0
22.71,114.02,74.0
22.74,114.02,39.0
22.77,114.02,59.0
22.8,114.02,67.0
22.83,114.02,75.0
22.86,114.02,99.0
22.44,114.05,57.0
22.47,114.05,0.0
22.5,114.05,0.0
22.53,114.05,9.0
22.56,114.05,51.0
22.59,114.05,101.0
22.62,114.05,82.0
22.65,114.05,76.0
22.68,114.05,56.0
22.71,114.05,46.0
22.74,114.05,57.0
22.77,114.05,38.0
22.8,114.05,30.0
22.83,114.05,90.0
22.86,114.05,85.0
22.44,114.08,12.0
22.47,114.08,170.0
22.5,114.08,6.0
22.53,114.08,0.0
22.56,114.08,29.0
22.59,114.08,215.0
22.62,114.08,103.0
22.65,114.08,97.0
22.68,114.08,83.0
22.71,114.08,54.0
22.74,114.08,48.0
22.77,114.08,29.0
22.8,114.08,26.0
22.83,114.08,30.0
22.86,114.08,45.0
22.44,114.11,290.0
22.47,114.11,78.0
22.5,114.11,18.0
22.53,114.11,10.0
22.56,114.11,11.0
22.59,114.11,18.0
22.62,114.11,46.0
22.65,114.11,93.0
22.68,114.11,89.0
22.71,114.11,58.0
22.74,114.11,42.0
22.77,114.11,28.0
22.8,114.11,34.0
22.83,114.11,21.0
22.86,114.11,41.0
22.44,114.14,125.0
22.47,114.14,170.0
22.5,114.14,10.0
