lat,lon,builtup_pct,n_px
22.4467,114.2792,0.0,2916
22.4467,114.2837,0.0,2916
22.4467,114.2882,0.0,2916
22.4467,114.2927,0.0,2916
22.4467,114.2972,0.0,2862
22.4467,114.3017,0.0,2916
22.4467,114.3061,0.0,2916
22.4467,114.3106,0.0,2916
22.4467,114.3151,0.0,2916
22.4467,114.3196,0.5,2916
22.4467,114.3241,0.0,2916
22.4467,114.3286,0.0,2916
22.4467,114.3331,0.0,2916
22.4467,114.3376,0.0,2916
22.4467,114.3421,0.0,2862
22.4467,114.3466,0.0,2916
22.4467,114.3511,0.0,2916
22.4467,114.3556,0.0,2916
22.4467,114.36,0.0,2916
22.4467,114.3645,0.0,2916
22.4467,114.369,0.0,2916
22.4467,114.3735,0.0,2916
22.4467,114.378,0.0,2916
22.4467,114.3825,0.0,2916
22.4467,114.387,0.0,2862
22.4467,114.3915,0.0,2916
22.4467,114.396,0.1,2916
22.4467,114.4005,0.0,2916
22.4467,114.405,0.0,2916
22.4467,114.4095,0.0,2916
22.4467,114.4139,0.0,2916
22.4467,114.4184,0.0,2916
22.4467,114.4229,0.0,2916
22.4467,114.4274,0.0,2862
22.4467,114.4319,0.0,2916
22.4467,114.4364,0.0,2916
22.4467,114.4409,0.0,2916
22.4467,114.4454,0.0,2916
22.4467,114.4499,0.0,2916
22.4467,114.4544,0.0,2916
22.4467,114.4589,0.0,2916
22.4467,114.4634,0.0,2916
22.4467,114.4678,0.0,2916
22.4467,114.4723,0.0,2862
22.4467,114.4768,0.0,2916
22.4467,114.4813,0.0,2916
22.4467,114.4858,0.0,2916
22.4467,114.4903,0.0,2916
22.4467,114.4948,0.0,2916
22.4467,114.4993,0.0,2916
22.4467,114.5038,0.0,2916
22.4467,114.5083,0.0,2916
22.4467,114.5128,0.0,2916
22.4467,114.5173,0.0,2862
22.4467,114.5217,0.0,2916
22.4467,114.5262,0.0,2916
22.4467,114.5307,0.0,2916
22.4467,114.5352,0.0,2916
22.4467,114.5397,0.0,2916
22.4467,114.5442,0.0,2916
22.4467,114.5487,0.0,2916
22.4467,114.5532,0.0,2916
22.4467,114.5577,0.0,2916
22.4467,114.5622,0.0,2862
22.4467,114.5667,0.0,2916
22.4467,114.5711,0.0,2916
22.4467,114.5756,0.0,2916
22.4467,114.5801,0.0,2916
22.4467,114.5846,0.0,2916
22.4467,114.5891,0.0,2916
22.4467,114.5936,0.0,2916
22.4467,114.5981,0.0,2916
22.4467,114.6026,0.0,2916
22.4467,114.6071,0.0,2862
22.4467,114.6116,0.0,2916
22.4467,114.6161,0.0,2916
22.4467,114.6206,0.0,2916
22.4467,114.625,0.0,2916
22.4467,114.6295,0.0,2916
22.4467,114.634,0.0,2916
22.4467,114.6385,0.0,2916
22.4467,114.643,0.0,2916
22.4467,114.6475,0.0,2916
22.4467,114.652,0.0,108
22.4512,113.7222,0.0,2916
22.4512,113.7267,0.0,2916
22.4512,113.7312,0.0,2916
22.4512,113.7357,0.0,2916
22.4512,113.7402,0.0,2916
22.4512,113.7447,0.0,2916
22.4512,113.7492,0.0,2916
22.4512,113.7537,0.0,2916
22.4512,113.7582,0.0,2916
22.4512,113.7627,0.0,2862
22.4512,113.7672,0.0,2916
22.4512,113.7717,0.0,2916
22.4512,113.7761,0.0,2916
22.4512,113.7806,0.0,2916
22.4512,113.7851,0.0,2916
22.4512,113.7896,0.0,2916
22.4512,113.7941,0.0,2916
22.4512,113.7986,0.0,2916
22.4512,113.8031,0.0,2916
22.4512,113.8076,0.0,2862
22.4512,113.8121,0.0,2916
22.4512,113.8166,0.0,2916
22.4512,113.8211,0.0,2916
22.4512,113.8256,0.0,2916
22.4512,113.83,0.0,2916
22.4512,113.8345,0.0,2916
22.4512,113.839,0.0,2916
22.4512,113.8435,0.0,2916
22.4512,113.848,0.0,2916
22.4512,113.8525,0.0,2862
22.4512,113.857,0.0,2916
22.4512,113.8615,0.0,2916
22.4512,113.866,0.0,2916
22.4512,113.8705,0.0,2916
22.4512,113.875,0.0,2916
22.4512,113.8795,0.0,2916
22.4512,113.8839,13.1,2916
22.4512,113.8884,90.6,2916
22.4512,113.8929,12.1,2916
22.4512,113.8974,0.0,2862
22.4512,113.9019,0.0,2916
22.4512,113.9064,0.0,2916
22.4512,113.9109,0.0,2916
22.4512,113.9154,0.0,2916
22.4512,113.9199,0.0,2916
22.4512,113.9244,0.0,2916
22.4512,113.9289,0.0,2916
22.4512,113.9333,0.0,2916
22.4512,113.9378,0.0,2916
22.4512,113.9423,0.0,2862
22.4512,113.9468,0.0,2916
22.4512,113.9513,0.0,2916
